method,ddd_threshold,depth
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,11
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,9
eagle_ddd,-1.0,7
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,9
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,11
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,7
eagle_ddd,-1.0,5
eagle_ddd,-1.0,7
eagle_ddd,-1.0,9
